x;y;v;theta;t
1470.32;623.892;14.6624;1.06435;221
1477.73;637.255;15.2811;1.06435;222
1485.28;650.861;15.5584;1.06435;223
1492.76;664.354;15.43;1.06435;224
1487.9;678.784;15.2293;1.89611;225
1482.92;693.541;15.5732;1.89611;226
1477.9;708.409;15.6915;1.89611;227
1472.99;722.985;15.3826;1.89611;228
1468.18;737.242;15.0464;1.89611;229
1463.48;751.182;14.7116;1.89611;230
1458.97;764.546;14.1034;1.89611;231
1454.54;777.682;13.8625;1.89611;232
1450.29;790.293;13.3092;1.89611;233
1445.9;803.305;13.7326;1.89611;234
1441.65;815.889;13.2806;1.89611;235
1430.93;824.07;13.4887;2.4899;236
1417.45;827.203;13.8361;2.9132;237
1404.27;830.268;13.5376;2.9132;238
1391.1;833.328;13.5157;2.9132;239
1377.67;836.45;13.7875;2.9132;240
1364.41;839.531;13.6115;2.9132;241
1350.85;842.683;13.9211;2.9132;242
1336.75;845.961;14.4766;2.9132;243
1322.23;849.336;14.9055;2.9132;244
1307.8;852.692;14.822;2.9132;245
1293.28;856.067;14.907;2.9132;246
1278.56;859.487;15.1063;2.9132;247
1263.93;862.887;15.0186;2.9132;248
1249.07;866.342;15.2602;2.9132;249
1233.9;869.869;15.5762;2.9132;250
1219.41;873.237;14.8767;2.9132;251
1204.93;876.602;14.8617;2.9132;252
1190.62;879.929;14.6972;2.9132;253
1176.94;883.108;14.0379;2.9132;254
1163.48;886.237;13.8208;2.9132;255
1149.79;889.42;14.0588;2.9132;256
1136.42;892.434;13.706;2.91983;257
1123.2;895.415;13.5497;2.91983;258
1109.97;898.398;13.5635;2.91983;259
1096.55;901.424;13.7585;2.91983;260
1083.03;904.472;13.856;2.91983;261
1069.34;907.559;14.0356;2.91983;262
1055.56;910.665;14.1247;2.91983;263
1041.7;913.79;14.2063;2.91983;264
1029.52;907.418;13.7503;3.62346;265
1017.04;900.892;14.0816;3.62346;266
1003.95;894.049;14.7663;3.62346;267
991.082;887.317;14.5258;3.62346;268
978.543;880.759;14.15;3.62346;269
965.619;875.107;14.1061;3.55386;270
953.216;869.683;13.5369;3.55386;271
940.444;864.098;13.9402;3.55386;272
927.701;858.525;13.9083;3.55386;273
915.957;865.61;13.7152;2.59872;274
903.797;872.947;14.2023;2.59872;275
891.81;880.179;13.9998;2.59872;276
879.264;887.748;14.6527;2.59872;277
867.241;895.002;14.0415;2.59872;278
853.433;892.192;14.0916;3.34237;279
839.105;889.276;14.6218;3.34237;280
824.828;890.928;14.3721;3.0264;281
810.003;892.643;14.924;3.0264;282
795.694;894.299;14.4037;3.0264;283
786.548;884.063;13.7268;3.98311;284
773.19;880.22;13.8998;3.42172;285
759.894;875.096;14.2493;3.50944;286
747.257;870.226;13.5425;3.50944;287
735.072;865.53;13.0586;3.50944;288
723.206;860.957;12.7167;3.50944;289
711.846;856.579;12.1744;3.50944;290
700.402;852.169;12.2641;3.50944;291
688.076;853.479;12.3958;3.03567;292
676.176;854.745;11.9672;3.03567;293
670.547;865.335;11.9933;2.05928;294
665.097;875.592;11.6153;2.05928;295
659.599;885.937;11.7155;2.05928;296
654.327;895.856;11.2322;2.05928;297
657.344;906.774;11.3271;1.30125;298
660.244;917.272;10.8907;1.30125;299
663.106;927.629;10.7458;1.30125;300
665.833;937.503;10.2433;1.30125;301
668.639;947.657;10.5351;1.30125;302
671.524;958.099;10.8329;1.30125;303
674.276;968.063;10.3371;1.30125;304
676.966;977.797;10.0989;1.30125;305
679.68;987.621;10.192;1.30125;306
685.047;996.619;10.477;1.03294;307
690.478;1005.72;10.6012;1.03294;308
696.114;1015.17;11.0009;1.03294;309
701.863;1024.81;11.2222;1.03294;310
707.804;1034.77;11.5973;1.03294;311
713.77;1044.77;11.6459;1.03294;312
720.008;1055.23;12.1755;1.03294;313
725.987;1065.25;11.6716;1.03294;314
731.829;1075.04;11.4024;1.03294;315
742.509;1076.95;10.8495;0.177014;316
753.629;1078.94;11.2966;0.177014;317
764.381;1080.87;10.9225;0.177014;318
775.167;1082.8;10.9573;0.177014;319
786.373;1084.8;11.3838;0.177014;320
791.257;1094.91;11.2298;1.12077;321
796.019;1104.77;10.9474;1.12077;322
800.962;1115;11.362;1.12077;323
805.772;1124.96;11.0579;1.12077;324
810.773;1135.31;11.4988;1.12077;325
815.908;1145.94;11.8039;1.12077;326
820.86;1156.19;11.3852;1.12077;327
827.93;1164.45;10.8697;0.86268;328
838.544;1167.53;11.0511;0.282358;329
848.263;1171.66;10.5628;0.402228;330
855.798;1179.69;11.013;0.817308;331
863.593;1188;11.393;0.817308;332
871.31;1196.23;11.279;0.817308;333
881.242;1200.33;10.7462;0.391775;334
891.012;1204.37;10.5712;0.391775;335
897.815;1212.13;10.3249;0.851468;336
904.488;1219.75;10.1279;0.851468;337
911.405;1227.65;10.4976;0.851468;338
921.827;1227.58;10.4226;-0.00683054;339
931.737;1227.51;9.90953;-0.00683054;340
942.072;1227.44;10.3354;-0.00683054;341
952.269;1227.37;10.197;-0.00683054;342
962.213;1227.3;9.94488;-0.00683054;343
970.931;1223.11;9.67212;-0.447952;344
980.085;1218.72;10.1557;-0.447952;345
988.79;1214.53;9.65826;-0.447952;346
997.655;1210.27;9.83573;-0.447952;347
1006.44;1206.05;9.7491;-0.447952;348
1010.09;1197.08;9.67942;-1.18463;349
1013.85;1187.82;9.99564;-1.18463;350
1017.44;1179;9.52524;-1.18463;351
1021.08;1170.04;9.67046;-1.18463;352
1024.9;1160.65;10.136;-1.18463;353
1028.57;1151.63;9.73476;-1.18463;354
1032.27;1142.52;9.83426;-1.18463;355
1036.15;1132.99;10.2862;-1.18463;356
1031.81;1123.85;10.1261;-2.01359;357
1027.28;1114.31;10.5562;-2.01359;358
1022.7;1104.64;10.7043;-2.01359;359
1017.9;1094.51;11.2058;-2.01359;360
1023.85;1084.57;11.5849;-1.03066;361
1030.88;1076.05;11.0473;-0.881526;362
1038.19;1067.18;11.498;-0.881526;363
1045.15;1058.29;11.2826;-0.90677;364
1055.93;1055.06;11.262;-0.290921;365
1067.24;1051.68;11.7972;-0.290921;366
1078.35;1048.35;11.6065;-0.290921;367
1084.94;1038.55;11.805;-0.979374;368
1091.47;1028.81;11.7275;-0.979374;369
1097.78;1019.43;11.3038;-0.979374;370
1104.98;1010.78;11.2586;-0.876006;371
